Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2
2473,US-2019-135923,22/01/2022,28/01/2022,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,,COD,,
2694,CA-2019-138079,22/01/2022,28/01/2022,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,West,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,,Online,,
5675,CA-2019-146318,22/01/2022,27/01/2022,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96,2,6.2208,,Online,,
5752,CA-2019-125850,22/01/2022,28/01/2022,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,3,22.2,,Online,,
5753,CA-2019-125850,22/01/2022,28/01/2022,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,20.65,5,9.499,,Online,,
6229,CA-2019-148208,22/01/2022,27/01/2022,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,,Online,,
6230,CA-2019-148208,22/01/2022,27/01/2022,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,,Cards,,
6238,US-2019-155180,22/01/2022,29/01/2022,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,,Online,,
7294,CA-2019-113656,23/01/2022,29/01/2022,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,,Online,,
9147,US-2019-165505,23/01/2022,27/01/2022,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,,COD,,
9148,US-2019-165505,23/01/2022,27/01/2022,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-AR-10003477,Office Supplies,Art,4009 Highlighters,8.04,6,2.7336,,COD,,
9149,US-2019-165505,23/01/2022,27/01/2022,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,,Online,,
4612,CA-2019-109407,24/01/2022,26/01/2022,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi,South,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,,COD,,
4327,CA-2019-153346,25/01/2022,27/01/2022,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,,COD,,
4328,CA-2019-153346,25/01/2022,27/01/2022,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18.0,5,8.28,,Cards,,
9358,CA-2019-168046,25/01/2022,28/01/2022,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,,Online,,
9359,CA-2019-168046,25/01/2022,28/01/2022,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,,COD,,
9360,CA-2019-168046,25/01/2022,28/01/2022,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,,Online,,
9361,CA-2019-168046,25/01/2022,28/01/2022,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0.0,,Online,,
8613,CA-2019-146437,28/01/2022,1/02/2022,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,West,OFF-AR-10000588,Office Supplies,Art,Newell 345,39.68,2,10.3168,,COD,,
2885,CA-2019-164483,30/01/2022,3/02/2022,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,San Francisco,California,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,,COD,,
7290,CA-2019-153661,30/01/2022,31/01/2022,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,,Online,,
7291,CA-2019-153661,30/01/2022,31/01/2022,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,17.7744,,Online,,
7292,CA-2019-153661,30/01/2022,31/01/2022,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-LA-10004689,Office Supplies,Labels,Avery 512,26.01,9,12.2247,,Online,,
7565,US-2019-166660,30/01/2022,1/02/2022,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,,COD,,
7566,US-2019-166660,30/01/2022,1/02/2022,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,,Online,,
8176,CA-2019-114944,30/01/2022,4/02/2022,Standard Class,HE-14800,Harold Engle,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,156.512,4,52.8228,,COD,,
8925,CA-2019-168032,30/01/2022,3/02/2022,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,TEC-PH-10004241,Technology,Phones,Nokia Lumia 1020,1439.968,4,143.9968,,Online,,
8926,CA-2019-168032,30/01/2022,3/02/2022,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,1.728,3,-2.6784,,Cards,,
8927,CA-2019-168032,30/01/2022,3/02/2022,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,,Online,,
4999,CA-2019-129238,31/01/2022,4/02/2022,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,TEC-PH-10004120,Technology,Phones,AT&T 1080 Phone,109.592,1,8.2194,,Cards,,
5000,CA-2019-129238,31/01/2022,4/02/2022,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,5,27.783,,COD,,
5114,CA-2019-147970,31/01/2022,2/02/2022,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Dallas,Texas,Central,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,15.552,3,5.4432,,Cards,,
7505,CA-2019-158043,31/01/2022,4/02/2022,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Atlantic City,New Jersey,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,23.36,2,11.68,,Cards,,
8761,CA-2019-159891,31/01/2022,6/02/2022,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,,Online,,
8762,CA-2019-159891,31/01/2022,6/02/2022,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,8,58.9192,,Cards,,
3242,US-2019-140809,1/02/2022,3/02/2022,First Class,CK-12760,Cyma Kinney,Corporate,United States,Arlington,Virginia,South,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,56.45,5,14.677,,COD,,
8404,CA-2019-154067,1/02/2022,7/02/2022,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,1105.52,4,48.5392,,Online,,
5614,CA-2019-147431,2/02/2022,7/02/2022,Standard Class,AB-10105,Adrian Barton,Consumer,United States,New York City,New York,East,OFF-ST-10003994,Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",117.96,2,5.898,,COD,,
8489,CA-2019-158841,2/02/2022,4/02/2022,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4749.95,5,2799.984,,COD,,
8490,CA-2019-158841,2/02/2022,4/02/2022,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,36.4,8,18.2,,COD,,
8491,CA-2019-158841,2/02/2022,4/02/2022,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,,Online,,
8513,CA-2019-144645,2/02/2022,8/02/2022,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Houston,Texas,Central,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,,COD,,
5754,CA-2019-118514,3/02/2022,10/02/2022,Standard Class,LC-17050,Liz Carlisle,Consumer,United States,Richmond,Kentucky,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,,COD,,
6043,CA-2019-117912,4/02/2022,8/02/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Sierra Vista,Arizona,West,FUR-FU-10002088,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,,COD,,
9068,CA-2019-150077,4/02/2022,10/02/2022,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Rockville,Maryland,East,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,90.48,2,23.5248,,COD,,
9521,CA-2019-101189,4/02/2022,9/02/2022,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,West,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,93.02,2,3.7208,,COD,,
1383,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",80.98,1,1.6196,,COD,,
1384,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,348.84,9,170.9316,,Online,,
1385,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,9.45,5,0.189,,Online,,
1386,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,FUR-FU-10004091,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",18.84,3,7.1592,,Online,,
1387,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",239.98,2,52.7956,,COD,,
1388,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-EN-10003001,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,167.96,2,78.9412,,COD,,
1389,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,104.85,3,28.3095,,COD,,
1390,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,484.83,3,126.0558,,COD,,
1391,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",122.97,3,60.2553,,Online,,
1392,US-2019-108504,5/02/2022,5/02/2022,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",154.44,3,1.5444,,COD,,
